dates;I
01/05/2020;93
02/05/2020;0
03/05/2020;4
04/05/2020;1
05/05/2020;7
06/05/2020;2
07/05/2020;1
08/05/2020;3
09/05/2020;6
10/05/2020;3
11/05/2020;0
12/05/2020;10
13/05/2020;4
14/05/2020;5
15/05/2020;1
16/05/2020;7
17/05/2020;0
18/05/2020;0
19/05/2020;9
20/05/2020;8
21/05/2020;12
22/05/2020;10
23/05/2020;3
24/05/2020;1
25/05/2020;0
26/05/2020;13
27/05/2020;16
28/05/2020;8
29/05/2020;7
30/05/2020;9
31/05/2020;3
01/06/2020;0
02/06/2020;15
03/06/2020;34
04/06/2020;28
05/06/2020;21
06/06/2020;25
07/06/2020;38
08/06/2020;0
09/06/2020;31
10/06/2020;14
11/06/2020;33
12/06/2020;27
13/06/2020;30
14/06/2020;19
15/06/2020;0
16/06/2020;48
17/06/2020;26
18/06/2020;35
19/06/2020;16
20/06/2020;24
21/06/2020;26
22/06/2020;0
23/06/2020;27
24/06/2020;26
25/06/2020;35
26/06/2020;37
27/06/2020;36
28/06/2020;25
29/06/2020;0
30/06/2020;32
01/07/2020;34
02/07/2020;35
03/07/2020;18
04/07/2020;24
05/07/2020;28
06/07/2020;0
07/07/2020;16
08/07/2020;31
09/07/2020;40
10/07/2020;17
11/07/2020;28
12/07/2020;26
13/07/2020;0
14/07/2020;25
15/07/2020;38
16/07/2020;41
17/07/2020;43
18/07/2020;31
19/07/2020;21
20/07/2020;0
21/07/2020;31
22/07/2020;19
23/07/2020;36
24/07/2020;68
25/07/2020;56
26/07/2020;46
27/07/2020;0
28/07/2020;36
29/07/2020;49
30/07/2020;40
31/07/2020;53
01/08/2020;34
02/08/2020;81
03/08/2020;0
04/08/2020;55
05/08/2020;71
06/08/2020;48
07/08/2020;49
08/08/2020;65
09/08/2020;52
10/08/2020;0
11/08/2020;40
12/08/2020;53
13/08/2020;61
14/08/2020;49
15/08/2020;69
16/08/2020;48
17/08/2020;9
18/08/2020;42
19/08/2020;46
20/08/2020;37
21/08/2020;36
22/08/2020;39
23/08/2020;33
24/08/2020;0
25/08/2020;48
26/08/2020;50
