cod_ibge;municipio;ano;populacao_total;porte_populacional;sequencia_porte
3500105;Adamantina;2022;33.846;De 10.000 a 49.999;2
3500204;Adolfo;2022;3.427;De 811 a 9.999;1
3500303;Aguaí;2022;36.164;De 10.000 a 49.999;2
3500402;Águas da Prata;2022;7.817;De 811 a 9.999;1
3500501;Águas de Lindóia;2022;18.503;De 10.000 a 49.999;2
3500550;Águas de Santa Bárbara;2022;5.984;De 811 a 9.999;1
3500600;Águas de São Pedro;2022;3.166;De 811 a 9.999;1
3500709;Agudos;2022;36.377;De 10.000 a 49.999;2
3500758;Alambari;2022;5.935;De 811 a 9.999;1
3500808;Alfredo Marcondes;2022;3.920;De 811 a 9.999;1
3500907;Altair;2022;4.068;De 811 a 9.999;1
3501004;Altinópolis;2022;15.540;De 10.000 a 49.999;2
3501103;Alto Alegre;2022;3.996;De 811 a 9.999;1
3501152;Alumínio;2022;18.166;De 10.000 a 49.999;2
3501202;Álvares Florence;2022;3.569;De 811 a 9.999;1
3501301;Álvares Machado;2022;23.867;De 10.000 a 49.999;2
3501400;Álvaro de Carvalho;2022;5.113;De 811 a 9.999;1
3501509;Alvinlândia;2022;3.204;De 811 a 9.999;1
3501608;Americana;2022;236.701;De 100.000 a 499.999;4
3501707;Américo Brasiliense;2022;41.113;De 10.000 a 49.999;2
3501806;Américo de Campos;2022;5.725;De 811 a 9.999;1
3501905;Amparo;2022;70.083;De 50.000 a 99.999;3
3502002;Analândia;2022;4.941;De 811 a 9.999;1
3502101;Andradina;2022;56.120;De 50.000 a 99.999;3
3502200;Angatuba;2022;24.897;De 10.000 a 49.999;2
3502309;Anhembi;2022;6.840;De 811 a 9.999;1
3502408;Anhumas;2022;4.004;De 811 a 9.999;1
3502507;Aparecida;2022;35.778;De 10.000 a 49.999;2
3502606;Aparecida d'Oeste;2022;4.077;De 811 a 9.999;1
3502705;Apiaí;2022;24.757;De 10.000 a 49.999;2
3502754;Araçariguama;2022;21.604;De 10.000 a 49.999;2
3502804;Araçatuba;2022;191.376;De 100.000 a 499.999;4
3502903;Araçoiaba da Serra;2022;33.307;De 10.000 a 49.999;2
3503000;Aramina;2022;5.535;De 811 a 9.999;1
3503109;Arandu;2022;6.171;De 811 a 9.999;1
3503158;Arapeí;2022;2.467;De 811 a 9.999;1
3503208;Araraquara;2022;229.973;De 100.000 a 499.999;4
3503307;Araras;2022;132.811;De 100.000 a 499.999;4
3503356;Arco-Íris;2022;1.795;De 811 a 9.999;1
3503406;Arealva;2022;8.249;De 811 a 9.999;1
3503505;Areias;2022;3.879;De 811 a 9.999;1
