cod_ibge;faixa_etaria;sexo;qtde
3500105;00 a 04 anos;MASCULINO;866
3500105;00 a 04 anos;FEMININO;825
3500105;05 a 09 anos;MASCULINO;923
3500105;05 a 09 anos;FEMININO;880
3500105;10 a 14 anos;MASCULINO;879
3500105;10 a 14 anos;FEMININO;823
3500105;15 a 19 anos;MASCULINO;951
3500105;15 a 19 anos;FEMININO;886
3500105;20 a 24 anos;MASCULINO;1104
3500105;20 a 24 anos;FEMININO;1012
3500105;25 a 29 anos;MASCULINO;1302
3500105;25 a 29 anos;FEMININO;1213
3500105;30 a 34 anos;MASCULINO;1313
3500105;30 a 34 anos;FEMININO;1355
3500105;35 a 39 anos;MASCULINO;1228
3500105;35 a 39 anos;FEMININO;1247
3500105;40 a 44 anos;MASCULINO;1157
3500105;40 a 44 anos;FEMININO;1188
3500105;45 a 49 anos;MASCULINO;1086
3500105;45 a 49 anos;FEMININO;1217
3500105;50 a 54 anos;MASCULINO;1145
3500105;50 a 54 anos;FEMININO;1277
3500105;55 a 59 anos;MASCULINO;1116
3500105;55 a 59 anos;FEMININO;1291
3500105;60 a 64 anos;MASCULINO;981
3500105;60 a 64 anos;FEMININO;1175
3500105;65 a 69 anos;MASCULINO;795
3500105;65 a 69 anos;FEMININO;999
3500105;70 a 74 anos;MASCULINO;618
3500105;70 a 74 anos;FEMININO;807
3500105;75 anos e mais;MASCULINO;846
3500105;75 anos e mais;FEMININO;1364
3500204;00 a 04 anos;MASCULINO;83
3500204;00 a 04 anos;FEMININO;80
3500204;05 a 09 anos;MASCULINO;87
3500204;05 a 09 anos;FEMININO;83
3500204;10 a 14 anos;MASCULINO;100
3500204;10 a 14 anos;FEMININO;85
3500204;15 a 19 anos;MASCULINO;121
3500204;15 a 19 anos;FEMININO;91
3500204;20 a 24 anos;MASCULINO;123
3500204;20 a 24 anos;FEMININO;110
3500204;25 a 29 anos;MASCULINO;117
3500204;25 a 29 anos;FEMININO;126
3500204;30 a 34 anos;MASCULINO;130
3500204;30 a 34 anos;FEMININO;133
3500204;35 a 39 anos;MASCULINO;118
3500204;35 a 39 anos;FEMININO;125
3500204;40 a 44 anos;MASCULINO;112
3500204;40 a 44 anos;FEMININO;113
3500204;45 a 49 anos;MASCULINO;117
3500204;45 a 49 anos;FEMININO;114
3500204;50 a 54 anos;MASCULINO;113
3500204;50 a 54 anos;FEMININO;131
3500204;55 a 59 anos;MASCULINO;121
3500204;55 a 59 anos;FEMININO;125
3500204;60 a 64 anos;MASCULINO;112
3500204;60 a 64 anos;FEMININO;127
3500204;65 a 69 anos;MASCULINO;90
3500204;65 a 69 anos;FEMININO;96
3500204;70 a 74 anos;MASCULINO;68
3500204;70 a 74 anos;FEMININO;88
3500204;75 anos e mais;MASCULINO;87
3500204;75 anos e mais;FEMININO;110
3500303;00 a 04 anos;MASCULINO;1209
3500303;00 a 04 anos;FEMININO;1151
3500303;05 a 09 anos;MASCULINO;1217
3500303;05 a 09 anos;FEMININO;1159
3500303;10 a 14 anos;MASCULINO;1194
3500303;10 a 14 anos;FEMININO;1147
3500303;15 a 19 anos;MASCULINO;1188
3500303;15 a 19 anos;FEMININO;1189
3500303;20 a 24 anos;MASCULINO;1422
3500303;20 a 24 anos;FEMININO;1336
3500303;25 a 29 anos;MASCULINO;1583
