ano;sem_epid;inicio;termino;sem_epid_desc
2020;1;29/12/2019;04/01/2020;2020/01 (29/12 - 04/01)
2020;2;05/01/2020;11/01/2020;2020/02 (05/01 - 11/01)
2020;3;12/01/2020;18/01/2020;2020/03 (12/01 - 18/01)
2020;4;19/01/2020;25/01/2020;2020/04 (19/01 - 25/01)
2020;5;26/01/2020;01/02/2020;2020/05 (26/01 - 01/02)
2020;6;02/02/2020;08/02/2020;2020/06 (02/02 - 08/02)
2020;7;09/02/2020;15/02/2020;2020/07 (09/02 - 15/02)
2020;8;16/02/2020;22/02/2020;2020/08 (16/02 - 22/02)
2020;9;23/02/2020;29/02/2020;2020/09 (23/02 - 29/02)
2020;10;01/03/2020;07/03/2020;2020/10 (01/03 - 07/03)
2020;11;08/03/2020;14/03/2020;2020/11 (08/03 - 14/03)
2020;12;15/03/2020;21/03/2020;2020/12 (15/03 - 21/03)
2020;13;22/03/2020;28/03/2020;2020/13 (22/03 - 28/03)
2020;14;29/03/2020;04/04/2020;2020/14 (29/03 - 04/04)
2020;15;05/04/2020;11/04/2020;2020/15 (05/04 - 11/04)
2020;16;12/04/2020;18/04/2020;2020/16 (12/04 - 18/04)
2020;17;19/04/2020;25/04/2020;2020/17 (19/04 - 25/04)
2020;18;26/04/2020;02/05/2020;2020/18 (26/04 - 02/05)
2020;19;03/05/2020;09/05/2020;2020/19 (03/05 - 09/05)
2020;20;10/05/2020;16/05/2020;2020/20 (10/05 - 16/05)
2020;21;17/05/2020;23/05/2020;2020/21 (17/05 - 23/05)
2020;22;24/05/2020;30/05/2020;2020/22 (24/05 - 30/05)
2020;23;31/05/2020;06/06/2020;2020/23 (31/05 - 06/06)
2020;24;07/06/2020;13/06/2020;2020/24 (07/06 - 13/06)
2020;25;14/06/2020;20/06/2020;2020/25 (14/06 - 20/06)
2020;26;21/06/2020;27/06/2020;2020/26 (21/06 - 27/06)
2020;27;28/06/2020;04/07/2020;2020/27 (28/06 - 04/07)
2020;28;05/07/2020;11/07/2020;2020/28 (05/07 - 11/07)
2020;29;12/07/2020;18/07/2020;2020/29 (12/07 - 18/07)
