N_CAT	ANO	MÊS	N	TÍTULO	AUTOR	EDITORA	CATEGORIA	VENDAS	ISBN	Num_Pag	url_img
0	2011	1	1	Ágape	Padre Marcelo Rossi	Globo Livros	Autoajuda	64.974	978-85-25048-95-0	128	https://pictures.abebooks.com/isbn/9788525048950-us.jpg
0	2011	1	2	Querido John	Nicholas Sparks	Novo Conceito	Ficção	12.437	978-85-63219-02-2	288	https://www.publishnews.com.br/estaticos/uploads/livro/201009201103445351799044711.jpg
0	2011	1	3	1822	Laurentino Gomes	Nova Fronteira	Não Ficção	12.312	978-85-20924-09-9	372	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011013222251248457.jpg
0	2011	1	4	A Cabana	William P. Young	Arqueiro	Ficção	12.298	978-85-99296-36-3	240	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110609551982376217.jpg
0	2011	1	5	Comer, Rezar, Amar	Elizabeth Gilbert	Objetiva	Não Ficção	10.621	978-85-73028-92-8	344	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110423973103680224.jpg
0	2011	1	6	Diário De Uma Paixão	Nicholas Sparks	Novo Conceito	Ficção	9.501	978-85-63219-20-6	256	https://www.publishnews.com.br/estaticos/uploads/livro/diario%20de%20uma%20paixao.jpg
0	2011	1	7	A Última Música	Nicholas Sparks	Novo Conceito	Ficção	8.662	978-85-63219-07-7	400	https://www.publishnews.com.br/estaticos/uploads/livro/201009201106373951199167663.jpg
0	2011	1	8	1808	Laurentino Gomes	Planeta Do Brasil	Não Ficção	7.884	978-85-76653-20-2	408	https://www.publishnews.com.br/estaticos/uploads/2015/08/XaCIqllM86TMxuB6ihP3170WUUMuxTx2lgRk9FAyJ6Txm9dKWvj3OX2pUeNKQFFsBK73KN7URVrp2b8T.jpg
0	2011	1	9	O Milagre	Nicholas Sparks	Agir	Ficção	6.698	978-85-20924-82-2	239	https://www.publishnews.com.br/estaticos/uploads/livro/o%20milagre.jpg
0	2011	1	10	Comprometida	Elizabeth Gilbert	Objetiva	Não Ficção	6.354	978-85-39000-76-0	240	https://www.publishnews.com.br/estaticos/uploads/livro/201009201104525042064780834.jpg
0	2011	1	11	Por Que Os Homens Amam As Mulheres Poderosas?	Sherry Argov	Sextante	Autoajuda	6.273	978-85-75424-88-9	192	https://pictures.abebooks.com/isbn/9788575424889-us.jpg
0	2011	1	12	O Semeador De Idéias	Augusto Cury	Academia	Ficção	5.977	978-85-60096-93-0	272	https://www.publishnews.com.br/estaticos/uploads/livro/o%20semeador.jpg
0	2011	1	13	A Pirâmide Vermelha	Rick Riordan	Intrínseca	Infantojuvenil	5.495	978-85-98078-97-7	448	https://www.publishnews.com.br/estaticos/uploads/livro/a%20piramide%20vermelha.jpg
0	2011	1	14	A Batalha Do Apocalipse	Eduardo Spohr	Verus	Ficção	5.340	978-85-76860-76-1	582	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110910671416755726.jpg
0	2011	1	15	Vida	Keith Richards	Globo Livros	Não Ficção	5.203	978-85-25049-31-5	672	https://www.publishnews.com.br/estaticos/uploads/livro/vida.jpg
0	2011	1	16	Bilionários Por Acaso	Ben Mezrich	Intrínseca	Negócios	5.024	978-85-98078-94-6	232	https://www.publishnews.com.br/estaticos/uploads/2015/07/SvT3X8gKys50UNxUkitLuxaxyRwTONFGg8euUX4fxCK6G3XfJOSX5Y2WOlWt8Xw0RuIvBECAXLtakKnW.jpg
0	2011	1	17	Amanhecer	Stephenie Meyer	Intrínseca	Ficção	4.306	978-85-98078-46-5	576	https://www.publishnews.com.br/estaticos/uploads/livro/20100920112246299136795256.jpg
0	2011	1	18	O Pequeno Príncipe	Antoine Saint-Exupéry	Agir	Infantojuvenil	4.216	978-85-22005-23-9	94	https://www.publishnews.com.br/estaticos/uploads/2015/07/UY2y1RdJ4JqUpvpY55PSUhDICVIAr046ge5nK0CGiyMNG8LOYqiZd5nJEWFO1btQmPygvZ4FruOFRpH3.jpg
0	2011	1	19	Depois Da Escuridão	Sidney Sheldon E Tilly Bagshawe	Record	Ficção	4.113	85-01-09099-9	464	https://www.publishnews.com.br/estaticos/uploads/livro/escuridao.jpg
0	2011	1	20	Fora De Mim	Martha Medeiros	Objetiva	Ficção	3.996	978-85-39001-12-5	136	https://www.publishnews.com.br/estaticos/uploads/livro/forademim.jpg
9	2011	1	1	Querido John	Nicholas Sparks	Novo Conceito	9	12.437	978-85-63219-02-2	288	https://www.publishnews.com.br/estaticos/uploads/livro/201009201103445351799044711.jpg
9	2011	1	2	A Cabana	William P. Young	Arqueiro	9	12.298	978-85-99296-36-3	240	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110609551982376217.jpg
9	2011	1	3	Diário De Uma Paixão	Nicholas Sparks	Novo Conceito	9	9.501	978-85-63219-20-6	256	https://www.publishnews.com.br/estaticos/uploads/livro/diario%20de%20uma%20paixao.jpg
9	2011	1	4	A Última Música	Nicholas Sparks	Novo Conceito	9	8.662	978-85-63219-07-7	400	https://www.publishnews.com.br/estaticos/uploads/livro/201009201106373951199167663.jpg
9	2011	1	5	O Milagre	Nicholas Sparks	Agir	9	6.698	978-85-20924-82-2	239	https://www.publishnews.com.br/estaticos/uploads/livro/o%20milagre.jpg
9	2011	1	6	O Semeador De Idéias	Augusto Cury	Academia	9	5.977	978-85-60096-93-0	272	https://www.publishnews.com.br/estaticos/uploads/livro/o%20semeador.jpg
9	2011	1	7	A Batalha Do Apocalipse	Eduardo Spohr	Verus	9	5.340	978-85-76860-76-1	582	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110910671416755726.jpg
9	2011	1	8	Amanhecer	Stephenie Meyer	Intrínseca	9	4.306	978-85-98078-46-5	576	https://www.publishnews.com.br/estaticos/uploads/livro/20100920112246299136795256.jpg
9	2011	1	9	Depois Da Escuridão	Sidney Sheldon E Tilly Bagshawe	Record	9	4.113	85-01-09099-9	464	https://www.publishnews.com.br/estaticos/uploads/livro/escuridao.jpg
9	2011	1	10	Fora De Mim	Martha Medeiros	Objetiva	9	3.996	978-85-39001-12-5	136	https://www.publishnews.com.br/estaticos/uploads/livro/forademim.jpg
9	2011	1	11	A Hospedeira	Stephenie Meyer	Intrínseca	9	3.951	978-85-98078-59-5	560	https://www.publishnews.com.br/estaticos/uploads/livro/A%20hospedeira.jpg
9	2011	1	12	Terra De Sombras	Alyson Noël	Intrínseca	9	3.407	978-85-98078-98-4	280	https://www.publishnews.com.br/estaticos/uploads/livro/terra%20de%20sombras.jpg
9	2011	1	13	O Símbolo Perdido	Dan Brown	Arqueiro	9	3.297	978-85-99296-55-4	512	https://www.publishnews.com.br/estaticos/uploads/livro/201009201115308161853624048.jpg
9	2011	1	14	O Menino Do Pijama Listrado	John Boyne	Seguinte	9	2.920	978-85-35911-12-1	200	https://www.publishnews.com.br/estaticos/uploads/livro/201009201127303311312868066.jpg
9	2011	1	15	Fallen	Lauren Kate	Galera Record	9	2.792	978-85-01089-62-5	406	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110704692-1133536870.jpg
9	2011	1	16	Diários Do Vampiro - O Retorno	L. J. Smith	Galera Record	9	2.725	978-85-01090-67-6	448	https://www.publishnews.com.br/estaticos/uploads/livro/diarios%20retorno.jpg
9	2011	1	17	Morte E Vida De Charlie St. Cloud	Ben Sherwood	Novo Conceito	9	2.494	978-85-63219-18-3	304	https://www.publishnews.com.br/estaticos/uploads/livro/morte%20e%20vida.jpg
9	2011	1	18	Queda De Gigantes	Ken Follett	Arqueiro	9	1.847	978-85-99296-85-1	912	https://www.publishnews.com.br/estaticos/uploads/livro/20110105085616249-1502246561.jpg
9	2011	1	19	Beijada Por Um Anjo	Elizabeth Chandler	Novo Conceito	9	1.044	978-85-63219-14-5	264	https://www.publishnews.com.br/estaticos/uploads/livro/Beijada%20Por%20um%20Anjo.jpg
9	2011	1	20	O Vendedor De Sonhos	Augusto Cury	Academia	9	1.012	978-85-60096-27-5	296	https://www.publishnews.com.br/estaticos/uploads/livro/20100920111806341007267731.jpg
13	2011	1	1	1822	Laurentino Gomes	Nova Fronteira	13	12.312	978-85-20924-09-9	372	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011013222251248457.jpg
13	2011	1	2	Comer, Rezar, Amar	Elizabeth Gilbert	Objetiva	13	10.621	978-85-73028-92-8	344	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110423973103680224.jpg
13	2011	1	3	1808	Laurentino Gomes	Planeta Do Brasil	13	7.884	978-85-76653-20-2	408	https://www.publishnews.com.br/estaticos/uploads/2015/08/XaCIqllM86TMxuB6ihP3170WUUMuxTx2lgRk9FAyJ6Txm9dKWvj3OX2pUeNKQFFsBK73KN7URVrp2b8T.jpg
13	2011	1	4	Comprometida	Elizabeth Gilbert	Objetiva	13	6.354	978-85-39000-76-0	240	https://www.publishnews.com.br/estaticos/uploads/livro/201009201104525042064780834.jpg
13	2011	1	5	Vida	Keith Richards	Globo Livros	13	5.203	978-85-25049-31-5	672	https://www.publishnews.com.br/estaticos/uploads/livro/vida.jpg
13	2011	1	6	Não Há Silêncio Que Não Termine	Ingrid Betancourt	Companhia Das Letras	13	3.321	978-85-35917-38-3	560	https://www.publishnews.com.br/estaticos/uploads/2015/07/MLIMNjzEGUz1C03M4AG3LUE7fdQg0BpGe3GSYX5XvKoWhaOr3VvYTHBSZEW4a83bSNPUKNy4scui5SGd.jpg
13	2011	1	7	Guia Politicamente Incorreto Da História Do Brasil	Leandro Narloch	Leya	13	3.281	978-85-62936-06-7	304	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011174267473813071.jpg
13	2011	1	8	Ricardo Amaral Apresenta Vaudeville	Ricardo Amaral	Leya	13	3.064	978-85-80440-23-2	488	https://www.publishnews.com.br/estaticos/uploads/livro/ricardo%20amaral.jpg
13	2011	1	9	Harry Potter - A Magia Do Cinema	Miraphora Mina	Panini	13	2.846	978-85-73516-81-4	160	https://www.publishnews.com.br/estaticos/uploads/livro/harry%20potter%20a%20magia.jpg
13	2011	1	10	50 Anos A Mil	Lobão	Nova Fronteira	13	2.785	978-85-20924-46-4	600	https://www.publishnews.com.br/estaticos/uploads/livro/50%20anos%20a%20mil.jpg
13	2011	1	11	Mentes Perigosas - O Psicopata Mora Ao Lado	Ana Beatriz Silvia	Fontanar	13	2.465	978-85-73029-16-1	210	https://www.publishnews.com.br/estaticos/uploads/livro/20100920112843408-1278583075.jpg
13	2011	1	12	Nelson Mandela - Conversas Que Tive Comigo	Nelson Mandela	Rocco	13	2.176	978-85-32526-07-6	416	https://www.publishnews.com.br/estaticos/uploads/livro/nelson%20mandela.jpg
13	2011	1	13	Meu Pai Fala Cada M*Rda	Justin Halpern	Sextante	13	1.529	978-85-75426-22-7	144	https://www.publishnews.com.br/estaticos/uploads/livro/pai.jpg
13	2011	1	14	José Alencar - Amor À Vida	Eliane Cantanhede	Primeira Pessoa	13	1.145	978-85-75426-24-1	256	https://www.publishnews.com.br/estaticos/uploads/livro/jose%20alencar.jpg
13	2011	1	15	Mil Dias Na Toscana	Marlena De Blasi	Sextante	13	1.093	85-75-42619-2	256	https://www.publishnews.com.br/estaticos/uploads/livro/toscana.jpg
13	2011	1	16	Uma Breve História Do Mundo	Geoffrey Blainey	Fundamento	13	1.041	978-85-88350-77-9	344	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011505980-1540772528.jpg
13	2011	1	17	Politicamente Incorreto	Danilo Gentili	Panda Books	13	987	978-85-78880-87-3	112	https://www.publishnews.com.br/estaticos/uploads/livro/politicamente%20incorreto.jpg
13	2011	1	18	Hitler	Ian Kershaw	Companhia Das Letras	13	874	978-85-35917-58-1	1.024	https://www.publishnews.com.br/estaticos/uploads/livro/hitler.jpg
